xi,m,alpha,vMu,vAlpha,vM
18686.3413729,0.0930981618427,2614.71731474,95588.1121716,7865.71568962,0.402672937801
459.974263599,0.0206026095738,404.061847548,78580.3322145,714.602601732,0.0206472526929
200.323949808,0.0228431779176,229.44202779,60371.9487067,380.651164434,0.0228323326674
146.584604319,0.00325277001817,130.704436414,34798.9038634,225.61059844,0.00324781990761
58.7474499402,0.0684997005666,58.6845570003,9439.8494178,150.443906435,0.0684888452567
9.16814792447,0.0122102014182,4.62274057441,16317.9613419,123.015791639,0.0122212378041
6.21743511385,0.0308488042602,49.6406131992,9837.67094313,192.181488236,0.0308457062856
21.7024673119,0.0238578375592,295.039444028,6448.20062433,715.592199825,0.0238592265865
114.388801512,0.0168863827635,736.945214891,4408.19255111,1755.34341114,0.0168876419403
268.909603791,1.33530999159,1040.83534456,7378.73905808,2826.21329633,1.33551173589
388.443157296,0.00739620023987,873.26359171,10246.6617732,2782.62881321,0.00739658880886
539.501385927,0.00636261843772,707.158335734,13451.9667757,2805.83019562,0.00636273811312
695.210547575,0.00811318868938,611.550870095,15760.3546719,2950.64527416,0.00811291148983
826.046918144,0.00829765782464,484.678011164,13844.595251,2668.06105931,0.00829760428954
659.639799275,0.00973049856977,369.755122612,15968.343084,2449.78431602,0.00973029853899
496.43246266,0.0116409208403,229.572701278,14865.8689689,1591.66822266,0.0116406330917
458.654025129,0.0132155008179,156.051507655,12911.725455,1401.48163645,0.0132152489703
408.893478163,0.0118597791419,107.960762379,11455.9632902,1307.47217898,0.0118599055034
232.128920143,0.0124306303577,57.9593364547,10871.1977356,1000.25136037,0.0124305197932
176.352492823,,31.5996497309,9157.20564727,712.850829364,
