name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num
information,0.320969272296,ect,0.816299236839,information,0.408693577512,new,0.781250271215,energy,0.55591581306,market,0.370569040404,know,0.402692889615,business,0.435112868056,time,0.234021227609,day,0.373926305628
price,0.206955426832,pm,0.224482143683,time,0.324909151006,business,0.142082641435,power,0.440383919375,price,0.317393861569,time,0.28883485747,gas,0.277801063716,week,0.215939481332,just,0.264917696047
california,0.176294793671,john,0.143582552226,email,0.186100465551,market,0.138822033057,company,0.253191314611,trading,0.304216120811,think,0.275239312745,energy,0.263797705247,pm,0.198711741821,know,0.196051616005
contract,0.159330980642,deal,0.130424330786,week,0.168207888126,company,0.138108170561,california,0.172246706181,gas,0.268831843416,work,0.20544267408,services,0.185362404455,does,0.126130885969,like,0.184187776304
contracts,0.159282622289,need,0.107398158246,click,0.151681405134,york,0.120199838961,news,0.158629653816,power,0.261778443521,going,0.186258052822,capacity,0.176013409328,work,0.12183176216,click,0.166991593088
gas,0.133555985592,thanks,0.103814897306,need,0.137303316183,trading,0.119203709885,service,0.141013449943,deal,0.256177368575,let,0.181913199541,company,0.169604063989,texas,0.11742837565,great,0.163721669509
rate,0.127635354149,agreement,0.0957352350093,available,0.126588304062,today,0.0856895955956,million,0.130944325002,california,0.148503742797,like,0.178907780636,houston,0.161597597013,just,0.112012370087,free,0.159121052845
state,0.117814722452,know,0.089752785172,houston,0.117636384463,exchange,0.0753597022593,year,0.100796590792,volume,0.137140187529,good,0.15886139205,employees,0.125859792485,office,0.108959220957,email,0.146581390155
provide,0.11359154896,sara,0.0889464858163,message,0.116661706954,stock,0.0719898939292,state,0.0992682649089,energy,0.134477671515,did,0.157022142913,report,0.115889218833,make,0.104377262412,online,0.1437672819
need,0.113158520529,mark,0.0870576645846,day,0.109939811408,information,0.0697313818422,jones,0.0984422324312,risk,0.128073035121,need,0.153546546555,group,0.1047174356,vince,0.103529376329,year,0.131687516338
power,0.10757705281,j,0.0845539557242,free,0.105203464782,financial,0.0684341279687,ect,0.0936752056863,daily,0.125173603886,just,0.151551363075,contract,0.101264492068,game,0.102424037207,good,0.121797136968
date,0.10468147891,let,0.0684691952159,meeting,0.104474357492,news,0.0616466772843,week,0.0887747536377,prices,0.124557595833,want,0.150590542421,markets,0.0953400849946,new,0.101042622232,week,0.115556308787
