name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num
information,0.587756387649,gas,0.376720423326,business,0.521122135231,day,0.302695747949,ect,0.855387755036,time,0.768517772541,energy,0.554106137926,new,0.869201789786,agreement,0.222361899862,know,0.496406509789
email,0.214823425717,price,0.365335620063,company,0.307601904103,week,0.265917465875,pm,0.220507643791,work,0.157301125504,power,0.517727364002,york,0.122567897045,need,0.197113650921,just,0.295376786455
received,0.144331211584,market,0.321016059362,trading,0.181170191797,click,0.261206658318,john,0.14803145865,houston,0.148581954867,california,0.266685114972,houston,0.117476949,meeting,0.189399574193,think,0.259067627552
need,0.136563203811,deal,0.2252976925,energy,0.173207585121,free,0.253988323988,deal,0.107061729478,pm,0.145013542036,service,0.140839480025,service,0.0564729248427,work,0.176868601078,let,0.238760134604
access,0.132047153539,trading,0.182023976128,management,0.159386648209,online,0.168908283018,thanks,0.0961624082648,meeting,0.124290465111,news,0.135187784969,like,0.0512540754487,comments,0.174950668044,like,0.190872328145
message,0.131830295717,daily,0.172721955025,services,0.146378742264,november,0.134941008761,sara,0.0946268204951,going,0.0982047263694,state,0.125883597325,receive,0.047729642077,week,0.16613044047,good,0.172253843338
available,0.126227559942,volume,0.148330882686,group,0.120706785609,great,0.130404748774,mark,0.0904692628873,employees,0.0859759460696,company,0.108800452894,offer,0.0471831688073,rate,0.149529754279,did,0.171183795711
data,0.12036142098,capacity,0.147721596104,million,0.120644382643,save,0.128862079316,j,0.0892814260565,great,0.0817237441202,said,0.0986544101875,free,0.0470739385549,issues,0.141544107731,going,0.15192199399
contact,0.117214437623,day,0.146276452403,risk,0.120477627154,offers,0.113849618604,agreement,0.08236506422,hope,0.0763763550966,utilities,0.094340730363,program,0.0467992357017,make,0.135936946635,want,0.138729639158
process,0.110866454571,contract,0.138274455952,financial,0.108612025124,travel,0.107088403287,vince,0.0664422764446,vince,0.0754405244732,million,0.0934741991006,market,0.046245423802,jeff,0.123084983418,need,0.110950251651
use,0.109715475887,prices,0.101101845833,global,0.105375812274,december,0.105876941665,chris,0.0659545639655,make,0.0733416866453,electricity,0.0850957030762,today,0.0460282742566,project,0.121431762843,deal,0.102071403976
provide,0.106755834058,month,0.0968127436245,businesses,0.104656131147,friday,0.104853914764,need,0.0628761601656,like,0.0728141313911,jones,0.0830566029286,markets,0.045789611816,section,0.116371729632,got,0.101745570288
know,0.103031081603,change,0.0929105562753,team,0.0999572384209,special,0.0992340716155,richard,0.0574789091241,does,0.0702584194678,utility,0.080728462427,power,0.0453995979228,contract,0.114840108103,pm,0.0972484489752
order,0.0994702765914,trade,0.0890702815388,markets,0.0997864046874,just,0.099060950501,houston,0.0538430702644,think,0.0688553390529,summer,0.0803502303506,trading,0.0432723180561,contracts,0.111076739397,really,0.0965316929654
help,0.0992696171799,delivery,0.0885467411637,operations,0.0973297500702,make,0.0960712142,legal,0.0529649402997,good,0.0602873313548,electric,0.0799891669961,december,0.0429509666824,like,0.110756515628,great,0.0956292705382
questions,0.0980359083903,deals,0.0862038044135,employees,0.0952123014512,nfl,0.0927792526326,contract,0.0462440205834,jeff,0.059647256289,prices,0.07900711222,right,0.0428715809593,draft,0.110171881352,night,0.0916690654247
service,0.0961065009125,order,0.0845839511344,provide,0.0904091158716,good,0.0896802463378,kay,0.0456259659559,know,0.058657909163,gas,0.0744297969491,internet,0.0424529457361,kay,0.10390786338,day,0.0837824038109
intended,0.089308028288,contracts,0.082652788187,america,0.0793652110483,year,0.0891842599204,north,0.0431529427093,following,0.0567787534071,companies,0.0729320795947,business,0.0418051339358,report,0.101489874292,work,0.0766750055986
date,0.0752704191427,date,0.0819976568364,unit,0.0765092286775,available,0.0890003627295,america,0.042565291947,office,0.0552178562454,demand,0.0709707208248,travel,0.0410563921385,conference,0.101280783975,things,0.0764401472132
program,0.0742530563343,california,0.0792610812268,president,0.0734212318767,offer,0.0870273569555,gas,0.0416069709837,group,0.0552058466363,year,0.0702757335845,just,0.0408532924383,letter,0.0981220396614,people,0.0750797710861
number,0.0732879341036,natural,0.0773155408146,transactions,0.071151259786,game,0.0848828425268,credit,0.0411740282419,thursday,0.0539042193615,market,0.0658355862097,exchange,0.0407467737253,changes,0.0947060815232,sure,0.0713846555069
address,0.0723645993698,commission,0.0764275360719,year,0.0704282532876,football,0.0819220266938,london,0.0406960216888,wednesday,0.0534973735478,new,0.0654034710786,president,0.0407188797745,rates,0.0915778027622,little,0.0706115624459
following,0.0713978217205,volumes,0.0741040167459,market,0.0691708905176,news,0.0815725310717,brent,0.0402920529214,real,0.0520368289663,e,0.0636965142465,site,0.0406251646822,want,0.0887960790198,right,0.0705645628077
send,0.0703979380314,index,0.0737654682226,report,0.0685708724896,home,0.0773397207663,draft,0.0390926267747,model,0.0494311521449,price,0.0626450233644,watch,0.0399723450342,form,0.0869966350462,email,0.0669940194781
receive,0.0690849291466,exchange,0.0730437236773,earnings,0.0680328282752,receive,0.0771524290455,help,0.0376664999093,just,0.0481068915956,billion,0.0586358415393,look,0.0395747524113,language,0.0828874480048,week,0.0657552052886
click,0.0686910931386,storage,0.0702367665696,europe,0.0660046813745,service,0.076796918996,sally,0.0372151555415,sure,0.0478041077366,times,0.0540251150993,send,0.039126968716,did,0.0820401462884,come,0.0652640226041
houston,0.0668043850568,does,0.0676428483624,position,0.0645630194397,check,0.0767357494183,sure,0.036933194039,john,0.0471355470952,report,0.0518141079325,form,0.0385482830958,pm,0.0779613333545,year,0.0631131804821
outlook,0.0667599681852,data,0.0669765481895,ceo,0.0622441398416,money,0.0760799205797,term,0.0358653268764,tomorrow,0.046143295067,india,0.0502190239264,times,0.038137487322,e,0.0760142127567,today,0.0626500183718
confidential,0.063240531079,days,0.0665282766159,currently,0.0619040069428,order,0.0758377114501,kate,0.0351251073061,help,0.0452342036111,public,0.0496817999841,year,0.037492402704,state,0.0745174759295,said,0.0625784494804
feedback,0.063204885375,term,0.066516696803,assets,0.0617628131228,today,0.0757470345393,carol,0.0333385074544,look,0.0447410715239,today,0.0494272270439,live,0.0374857931207,john,0.0744137278713,say,0.0609895188576
request,0.0615773885795,position,0.0660733817556,office,0.061174279906,texas,0.0752018966947,mike,0.0330915776593,check,0.0446093884614,plant,0.0486418288349,time,0.0373873529773,following,0.0690408017639,send,0.0601799346233
recipient,0.0613030744877,o,0.0644347980238,process,0.0602212656388,monday,0.0747549095897,susan,0.0322662937032,friday,0.0441858117544,rates,0.0485270779476,changes,0.0363177883916,thanks,0.0684208410197,way,0.059935862551
id,0.0606513639742,firm,0.0636867054088,news,0.0591974944235,player,0.0746834231185,mg,0.0313384108966,right,0.0441513775144,industry,0.0477015862593,s,0.0362200942328,issue,0.0683188488122,plan,0.0596104041625
internet,0.0587219921409,new,0.0608876564952,development,0.0584752081871,night,0.0745345137552,james,0.0311810650991,discuss,0.0434326495495,crisis,0.0475104815323,gifts,0.0360816413944,questions,0.066989328221,told,0.0587556999414
let,0.0586941989797,bid,0.0608228786997,north,0.0580561635118,visit,0.072326273277,copy,0.030941039788,number,0.0429124382544,says,0.0473039154241,offers,0.03592723083,schedule,0.0667445783412,love,0.0565637523473
communication,0.0583330050501,points,0.0608047502786,november,0.0578151389493,site,0.0707173199399,think,0.0305936648692,people,0.0415882024876,pg,0.0462448961227,work,0.0354879964403,credit,0.0654113870814,does,0.0550311891874
copy,0.058029195282,product,0.0577374216741,units,0.0574018805315,purchase,0.0705507830697,attached,0.0298530481561,little,0.0411651625674,rate,0.0447572779724,jersey,0.0348866760294,final,0.0653203764037,jeff,0.0536993519334
like,0.0574986572416,physical,0.0572017042021,continue,0.0564937640944,reports,0.0689510994102,deals,0.0296411594705,presentation,0.0411323979955,earnings,0.0442842333727,job,0.0342772844385,attached,0.0651464947222,start,0.0535889078844
list,0.0558296707275,cap,0.0570442686328,chairman,0.0558403779376,dear,0.06782355903,dave,0.0292988396505,date,0.0401528741403,houston,0.0436289665815,ability,0.034223309474,review,0.065071625326,doing,0.0505625696301
employees,0.0530714001615,transaction,0.0565995941568,companies,0.0553897223408,var,0.0676198396863,yes,0.0292755868578,days,0.0401390339075,markets,0.0432358020759,open,0.0340242138525,legal,0.0650299985176,bring,0.0500025093681
review,0.0525862263276,offer,0.0564743108531,s,0.0551698782374,email,0.0653547032676,currently,0.0291740272506,job,0.038759556511,plants,0.0428625029862,check,0.0338135511723,provide,0.0638771011469,mike,0.0486433518516
s,0.0498707760648,changes,0.0562575716866,wholesale,0.0550352990591,car,0.0630236624852,robert,0.0289470285121,able,0.0382852874452,wall,0.0422338764298,way,0.0333933868933,case,0.0638513968544,probably,0.048386802734
free,0.0496507192209,pipeline,0.0544848684263,gas,0.0547496102548,win,0.0623786915164,know,0.0282644203041,schedule,0.0372227196286,supply,0.0398502355042,drive,0.0333363960303,date,0.0636953382776,group,0.0482065116378
site,0.0496496375993,following,0.0532165171352,opportunities,0.0546159882027,start,0.0616733554051,fax,0.0281556950797,event,0.0370839417564,expected,0.0394661345966,use,0.0331181608309,office,0.0623548366432,best,0.0472821132206
team,0.0495990899519,ces,0.0531447485804,focus,0.053296141655,saturday,0.0611899497799,information,0.0278086657503,forward,0.0370591450905,journal,0.0394146289402,street,0.0325919109103,plan,0.0614072797648,leave,0.046086575065
want,0.0493195675148,power,0.0525198824761,plan,0.0527612861837,way,0.0603024862798,let,0.0277246744316,desk,0.0365196554244,senate,0.0390974733242,view,0.0318221893476,communication,0.0603698546049,thought,0.0449047781652
reply,0.0491552153718,value,0.0525014455144,week,0.0517030947928,tuesday,0.0592327094779,ces,0.0276919049787,long,0.0363561650774,commission,0.0385272992813,launch,0.0316506357755,california,0.0595168530942,hope,0.0448471295037
project,0.0489458868852,number,0.0513672337276,stock,0.0516283319162,hotel,0.0589785649262,summer,0.0273565530576,opportunities,0.0356002687546,generation,0.0384817744833,chairman,0.0312228124579,discuss,0.0570041391339,lot,0.0445274905864
able,0.0480769251045,markets,0.0509769146583,include,0.0507026971767,tickets,0.0568155562415,mary,0.0269867615851,week,0.0355396011628,street,0.0384182388303,product,0.0307734827313,utility,0.0560531303967,price,0.0435309123494
time,0.0479646200815,bids,0.0509438101463,houston,0.0502927280543,like,0.056432442596,sent,0.0269111598554,way,0.0355308115358,june,0.0381895406279,shower,0.0307045101904,include,0.0559133349591,dinner,0.0422240645059
link,0.04680846259,current,0.0506259356463,performance,0.0482198870755,days,0.0563406281793,robin,0.0264797730356,visit,0.0354135811811,western,0.0379948717427,version,0.0306688022219,send,0.055686900843,getting,0.0413007119813
regarding,0.0465683654186,northwest,0.0496997280049,members,0.048177043433,time,0.0559196535261,cash,0.0264748572549,day,0.035152470893,washington,0.0377306129758,world,0.0306204753449,needs,0.0550186696374,big,0.0406167224851
portal,0.0463304720758,november,0.0495831619488,mark,0.0477488666125,place,0.0557887770935,david,0.0261664785927,data,0.0347640053419,iso,0.0357814217547,said,0.0304704717196,pg,0.0548370817064,definitely,0.0399834815893
group,0.0462080833288,short,0.0495300286971,board,0.0476993808104,return,0.0555039604261,jeffrey,0.0260718808206,doing,0.0342658507245,house,0.0354543369219,economy,0.0301921193673,tom,0.0546462976738,kay,0.0397275245917
