name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num
deal,0.3883526003575922,ect,0.7944120870156628,energy,0.5804820448832291,know,0.43896005904030205,agreement,0.18424855656264227,business,0.49739426495221284,new,0.8293747129938819,time,0.5036599912727572,information,0.4483828828766195,image,0.9700970624622703
price,0.35889283697718516,pm,0.25750041324389056,power,0.42911894876680196,think,0.2589986885312909,meeting,0.1746171122342467,company,0.22384513672790138,market,0.13199371777287447,week,0.29620604902152275,email,0.247005116645493,free,0.061400912252590055
gas,0.33324127308896834,john,0.1527822360893455,california,0.24177721498939886,like,0.238781355533125,time,0.15955979125402048,trading,0.20790922150995964,power,0.11810653681081168,houston,0.1951796967563049,free,0.18810981808119562,click,0.059344590546507626
market,0.23884906228109487,agreement,0.11924964545018442,company,0.18936566073746358,just,0.23528942070462058,information,0.15754970325586753,management,0.16534104972085079,york,0.11388420028266523,pm,0.13107897987852707,click,0.18457874215285128,online,0.05270720347678664
ect,0.17769876630391143,thanks,0.11255089249659601,news,0.13990036041923182,let,0.2077221052291447,capacity,0.15532555649683205,group,0.1425539164516779,price,0.06905431984033009,great,0.12664811395593842,day,0.1744454424733693,day,0.034947251342352485
day,0.16546698949810398,sara,0.09846223683450668,service,0.13156424018027923,work,0.17908625561640443,need,0.1481367326069704,services,0.138637380020336,changes,0.06371862877886011,just,0.11722759706573413,message,0.13938238524358953,special,0.030251465502899897
volume,0.15967341854206502,mark,0.09317334027944739,million,0.12723406065591655,good,0.17197810945293912,contract,0.1445958913458185,risk,0.1341089884602175,rule,0.06203669475536149,make,0.11614429671653213,order,0.13917330895534188,fantasy,0.027516049878547163
trading,0.15583481938486735,houston,0.08470374949549588,state,0.1092825677423051,did,0.1706265971450655,power,0.1366612919377456,team,0.12044586954374965,service,0.06149583881762468,day,0.11260813382511434,service,0.13651345634674922,events,0.027121321263040062
daily,0.1454717158494279,vince,0.0819707308796582,gas,0.09690641304957612,need,0.16600326012702712,rate,0.13413809565713106,provide,0.10936295073993169,said,0.05992127533021859,friday,0.10774583455589398,available,0.12760972742650986,stocks,0.025969192428436122
deals,0.13104624587320185,need,0.08001374417782532,said,0.09191337212986155,going,0.1508277477106143,date,0.13239437383918098,market,0.10338656511618562,today,0.05867278102011825,year,0.09985923738697916,access,0.12644432598850278,like,0.025135927430476764
contract,0.12610261034304224,j,0.07981478616689512,year,0.0870345497556425,want,0.14889431282811127,gas,0.1300448989614999,employees,0.10159439384839619,exchange,0.05161555627248576,good,0.0986416060934118,use,0.12083641059724581,law,0.025104721472454492
month,0.10867312319226546,kay,0.06523275712685715,market,0.08349334261497411,time,0.11631377532139407,contracts,0.12824286675664182,operations,0.10116256806220311,trading,0.04973985889051288,december,0.09463064666247609,received,0.11131296357503379,save,0.023855632080336475
just,0.09868770219301375,richard,0.06251268944977521,jones,0.08232897371994205,email,0.10605872907175919,comments,0.1272031693356533,businesses,0.10017186114693366,free,0.04786152511240472,november,0.09057394381362521,online,0.10452019445002945,year,0.023351646516336737
prices,0.09445774546304078,chris,0.06188855813822416,dow,0.08193600342430452,jeff,0.10472055499729184,issues,0.12071993944195046,global,0.09979952091211211,markets,0.047026186534064235,employees,0.08904472097496675,receive,0.09478584417789067,gift,0.023160683727643072
