name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num
space,0.288650751,apr,0.21660567,5,0.324549528,apr,0.305926264,data,0.398952924,screen,0.263590095,newsgroups,0.251250625,apr,0.272806717,writes,0.366261338,writes,0.283658445
list,0.206623246,organization,0.214335486,apr,0.309957484,5,0.27625984,project,0.187308839,1993,0.20125384,apr,0.247287676,newsgroups,0.265118924,article,0.217344717,references,0.191124039
1993,0.172459624,newsgroups,0.206537955,newsgroups,0.223846409,newsgroups,0.240995941,brain,0.177908026,writes,0.164569305,organization,0.243858939,messageid,0.252945658,references,0.198631904,lines,0.177365063
available,0.151840385,lines,0.20547927,messageid,0.217946994,messageid,0.235251998,space,0.155596953,path,0.155096027,messageid,0.242909205,date,0.252380029,organization,0.178424197,organization,0.175014395
nasa,0.138287044,messageid,0.205113157,date,0.217053473,date,0.233489484,visualizations,0.153068423,messageid,0.15305431,path,0.242479343,path,0.250642421,path,0.177342634,date,0.174954359
information,0.117805088,date,0.203909251,lines,0.212524404,path,0.229349914,humbio,0.132574321,organization,0.152116728,date,0.242292749,organization,0.247400368,messageid,0.177079631,article,0.17453298
good,0.110716366,path,0.202966547,path,0.210799262,organization,0.227819235,use,0.131645967,date,0.151923028,gmt,0.22914074,lines,0.240494255,date,0.176233404,path,0.173092034
key,0.108896846,gmt,0.192809999,organization,0.200329704,gmt,0.226461347,available,0.12400196,newsgroups,0.150005375,lines,0.223398546,gmt,0.234429775,newsgroups,0.175966505,newsgroups,0.172775631
message,0.104111502,god,0.186286003,93,0.194515952,lines,0.222556113,organization,0.115898093,time,0.149570101,writes,0.197534313,93,0.214044848,lines,0.173051451,messageid,0.172720379
ftp,0.103551688,93,0.184291864,gmt,0.189719906,1993,0.175854649,time,0.10951528,lines,0.148854321,references,0.165945346,sender,0.170876101,gmt,0.166888675,apr,0.164146024
data,0.097276645,technology,0.174557825,1993,0.185760107,93,0.157689719,email,0.101768862,bit,0.141938467,1993,0.142233131,university,0.168832015,apr,0.163724598,mr,0.163520016
ripem,0.096517499,people,0.171643073,mon,0.140152446,mon,0.147261124,images,0.09884289,know,0.138725192,cantaloupesrvcscmuedu,0.141306035,articleid,0.13758827,5,0.152879597,93,0.151877684
5,0.09515027,sender,0.133047777,references,0.138617787,sender,0.133428023,depicting,0.098106076,apr,0.138526546,xref,0.141305302,nntppostinghost,0.135012021,people,0.13818159,gmt,0.141857821
gmt,0.093515482,jesus,0.108392664,nntppostinghost,0.13167181,cantaloupesrvcscmuedu,0.10909361,date,0.095249707,images,0.138231347,sender,0.134422216,5,0.118082909,nntppostinghost,0.125353221,people,0.137288783
1,0.090280139,bible,0.107501415,pittsburgh,0.095624943,xref,0.109092893,nasa,0.095163331,references,0.131480808,article,0.130649748,references,0.113262005,1993,0.107721925,dont,0.116071923
posts,0.088167125,good,0.10464825,division,0.090139262,thanks,0.10889615,levels,0.093093495,levels,0.128998726,93,0.124277391,6,0.106601301,person,0.097783537,nntppostinghost,0.10795157
convention,0.088026759,2,0.100283662,article,0.089882028,nntppostinghost,0.078358803,know,0.092378941,gmt,0.126153544,5,0.117301613,thanks,0.104206257,just,0.096654853,windows,0.106707075
email,0.087221706,university,0.099585281,id,0.083706283,brain,0.075759918,screen,0.092227657,work,0.120424526,6,0.114929081,cantaloupesrvcscmuedu,0.103010173,question,0.093638974,6,0.102743874
free,0.086938157,nntppostinghost,0.094999324,kings,0.082930621,know,0.072004365,path,0.091511117,problem,0.119169541,nntppostinghost,0.110673066,xref,0.103009457,like,0.090266219,technology,0.101374803
telescope,0.08622353,think,0.09393779,winner,0.076492583,data,0.068537043,information,0.09150825,windows,0.117454849,rate,0.108372907,distribution,0.073277687,know,0.080649714,just,0.096714183
date,0.084697585,5,0.087964253,writes,0.073738854,email,0.067181795,lines,0.089828724,article,0.115831657,distribution,0.096065733,turkey,0.064246764,think,0.078404163,university,0.096326742
astronomical,0.083496591,innocent,0.087165156,biggest,0.072020088,project,0.066828075,sets,0.089443508,8,0.111357022,gcc,0.087898918,mr,0.06383511,beast,0.077871457,god,0.093858284
access,0.080800047,person,0.086925993,like,0.070707286,looking,0.065796944,newsgroups,0.089111464,dont,0.110290597,articleid,0.087090593,im,0.063344063,innocent,0.077855114,sender,0.088144799
