name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num,name,num
data,0.4078338525930977,christian,0.30355622818699035,writes,0.49269212328509693,newsgroups,0.2745184615480028,windows,0.27636035021732747,news,0.4896022097309577,space,0.35619535052227924,people,0.2798055609166701,apr,0.43360845597871356,screen,0.3480566263160727
project,0.2424806845045016,god,0.2666234792135081,article,0.2788738127467986,apr,0.2695635074040598,unix,0.22274737208292206,sender,0.2844505079040556,list,0.22975463964043558,keith,0.25422452781135635,newsgroups,0.26221402262346466,time,0.19764686006768448
brain,0.2421434055021561,organization,0.1887978151302688,references,0.20829583643529914,date,0.25461777338603225,writes,0.17475632369393143,usenet,0.21347352273916373,available,0.20679497672052935,references,0.19705620859680217,date,0.25206604601359095,writes,0.1933606903802273
organization,0.21572706068224778,technology,0.18381376020769,apr,0.18601869853646255,path,0.2541750952479473,apr,0.1726413340879308,path,0.18688407515255603,nasa,0.19866163424401473,writes,0.19344636355738373,gmt,0.2476021303065919,images,0.19268574012949602
gmt,0.20823884567701823,gmt,0.18258298744194773,date,0.1645699769975491,organization,0.24844296750427997,references,0.14703316215368276,organization,0.18662196782481497,data,0.16352405554242713,newsgroups,0.19065221083381456,lines,0.2420295500199421,levels,0.18735833245769506
newsgroups,0.19429738261222843,lines,0.1763698666479517,path,0.16364050930787485,lines,0.24597156643369295,lines,0.14392774894413177,date,0.18547983145209404,information,0.1597509992842715,organization,0.19015641871834182,path,0.23851994071883248,bit,0.18521812261140627
apr,0.1902729471879884,newsgroups,0.17413261635043614,organization,0.161527698654636,university,0.21648234201574026,use,0.13875147710179322,newsgroups,0.18481850302769495,ftp,0.13963463270979326,path,0.18751374455669148,mon,0.23567770988822676,sloan,0.1829209968423569
path,0.18699654177056635,path,0.16862081576786245,newsgroups,0.15929386246493513,references,0.21202532989524067,date,0.13586342893965098,gmt,0.17293297101174768,astronomical,0.11750986062860759,person,0.1867300530914976,organization,0.21577736126232605,article,0.16972902290248615
date,0.18669923039781747,date,0.1676145709851163,gmt,0.15869494426744862,gmt,0.20982738289417577,good,0.1340178978741276,lines,0.16980750230500308,convention,0.11569120622507498,date,0.18529463063754484,thanks,0.1722200361607951,problem,0.16070365177952006
lines,0.17524305879471444,apr,0.1641495156651607,lines,0.153457100732907,sender,0.13885348977795653,people,0.13027146790256278,university,0.14557800333424215,telescope,0.112075870789207,lines,0.18507652932178514,bus,0.13670588970311004,lines,0.1579176180723147
use,0.1376998253903286,university,0.14446044376484346,beast,0.15111697764316218,kings,0.13299463010210458,path,0.12974585518288811,apr,0.14152934294840358,national,0.10492487051352321,apr,0.15239550142787553,id,0.13244077464266327,newsgroups,0.15761448568613087
know,0.11529650615554043,bible,0.14172949203807322,dyer,0.14634635476648672,pittsburgh,0.11599431512698108,free,0.12942859623097613,andy,0.13250379501944107,faq,0.10326348759390991,innocent,0.15144143312819094,pdt,0.1125129917864386,path,0.15759382250102089
sets,0.1140444498181252,jesus,0.13601539840925972,steve,0.12858729509585956,biggest,0.11517234576964204,programs,0.12911485429272007,thanks,0.10568600087483061,posts,0.10134392196229534,gmt,0.1479925333119577,mouse,0.10064344167588551,organization,0.15740442744124122
apple,0.111439737199929,sender,0.13422666454445353,believe,0.10243854596058809,division,0.10990386689366233,newsgroups,0.12330859544935918,just,0.10403232561403411,center,0.10091347525220497,like,0.12630711133261766,want,0.09134111154986586,date,0.1545893488981546
function,0.10592429317641187,group,0.12894683210437496,uk,0.09553975040528469,distribution,0.10567687293528923,organization,0.12019902093533745,references,0.10074865648113565,widget,0.10033120695555124,california,0.12131521822349588,weston,0.090153257423547,know,0.13552982141792316
effects,0.10503356482574798,good,0.1263818869080317,rate,0.09420934711365943,california,0.10258610913026746,chris,0.11996253623304243,turkey,0.10033661761020414,anonymous,0.09667409030222315,think,0.11692203756889995,usenet,0.08418595840137348,display,0.13387282690095262
sender,0.09634505390410962,people,0.11179008492074158,jack,0.09106936324463549,winner,0.09279432604069485,does,0.11861238437470212,armenia,0.08779448651377753,email,0.09254981207337591,institute,0.10642896903912843,list,0.0742025121131653,took,0.12963954324423035
rate,0.08827154165839056,way,0.10745310664213348,news,0.08781190410598641,cup,0.08523046661655961,gmt,0.11564710104468805,college,0.08441720935311796,satellite,0.09195248664292405,blame,0.10628618032061049,problem,0.07049865096547521,just,0.12857832701093383
time,0.08456480727507125,evil,0.10741695792680901,israel,0.07547657958682484,predictions,0.08447294190310753,work,0.10869882867445711,writes,0.08258337021138776,key,0.090810279525824,article,0.10439866410089221,headlights,0.06621051278969596,does,0.12846697296195195
distribution,0.08352870675571572,rutgers,0.10243798078664429,book,0.06708046345857434,season,0.07103305532193165,drive,0.10799783178024998,radius,0.0731850725750873,shuttle,0.08791252051788838,question,0.09487499911833348,diego,0.06167062983319948,apr,0.12845892653002214
hughes,0.07977473001355252,approved,0.09908391264592603,number,0.06641679819595053,world,0.067811662109615,message,0.10542690238992806,know,0.07257674576978417,access,0.08275169538229457,murder,0.09021104099051709,san,0.06146911422157988,references,0.12495787147427437
deficit,0.07954981694111339,article,0.09654222085261688,population,0.0634787550155802,day,0.06604635264479788,systems,0.09852952868901582,monitor,0.06928453756573735,earth,0.07950255374115359,true,0.08913883665241634,sender,0.06108086131056303,university,0.11866975576678798
looking,0.0793234155944696,want,0.0922233953569311,cos,0.06347865357089442,o,0.06568291938596413,key,0.09788430725428762,couple,0.06834976217144781,astronomy,0.07836920252339603,distribution,0.08872698043643587,book,0.0607860179851004,work,0.11506092402509047
peter,0.07858074562061494,usc,0.08021206993369753,did,0.062056680594805735,like,0.06531270490991502,article,0.09720150794897095,software,0.06809576053433662,institute,0.07697121828440297,technology,0.08508333160212371,information,0.06023316993988058,gmt,0.11179156857885464
university,0.07816132114510427,writes,0.07969877670941664,likely,0.06180998998201035,stanley,0.0627391099118053,gcc,0.09197302463683886,people,0.06388791907123276,software,0.0767179354578544,punishment,0.0843257951911622,email,0.059289627870947104,did,0.11058553326309851
visualization,0.07706535266907731,pray,0.07599403835081484,just,0.059016231498455175,admiral,0.0625391545860272,things,0.0884953280368238,woodward,0.06314387918356855,contact,0.07473427722384401,political,0.08124015801582901,old,0.0592492982473039,different,0.09892801317123646
currently,0.07611094601548492,temple,0.07397289069794884,scott,0.058041873605075754,blue,0.06211446284876064,phone,0.08677365064658084,new,0.05969748995513716,program,0.0746228360618687,motto,0.080729265831296,distribution,0.05924334417925741,jon,0.08788688523802123
news,0.0742407478205812,doing,0.07366578783541064,chris,0.05705810127487457,michael,0.061221550181338694,case,0.08673241739162538,version,0.059239006021879904,observatory,0.07328029650180849,just,0.0797428571714196,received,0.057269665702743694,andy,0.08260558518053782
using,0.06844106411245647,free,0.07278837142138013,mcdonald,0.05649685967935938,angeles,0.058752918025570346,tue,0.08338310086766205,mon,0.05687321600265502,time,0.07227606139138565,society,0.07949975011229955,week,0.05602215361384494,card,0.0795596292536711
email,0.06676842918986436,discussion,0.06903324150109007,rights,0.05560077199283205,los,0.05869030179057862,best,0.07817426012659066,newsletter,0.05666788086681321,general,0.07149129664147472,favor,0.07814899975782023,does,0.05559502844650245,kenneth,0.07867513371728393
drugs,0.066681653829793,just,0.06851807544244883,mv,0.05495070723969961,code,0.05663285270761367,sender,0.07800113163345714,dodgers,0.055946647427113305,message,0.07138851266703744,pasadena,0.07387294033075152,questions,0.05552388478708162,birmingham,0.07671810884758079
levels,0.06663700349734747,going,0.06682277444428687,question,0.05407188898188744,year,0.05558671485749868,quite,0.07683135325044664,mile,0.05577666429930865,reports,0.06884012157534308,does,0.07108115601365299,bob,0.05493513079743639,distribution,0.07312056037984402
video,0.06554455118125706,think,0.06579397520962989,said,0.05315262184506707,gcc,0.054989905383116426,memory,0.07649766630076527,really,0.05519450092348085,word,0.06632710001343901,ed,0.06984570372895235,like,0.05372442810658566,thanks,0.07237004426615089
emory,0.06479429818204684,feel,0.06531594252249401,rochester,0.052564082719616136,champions,0.05446973236486259,god,0.07317221954119467,did,0.05393416202460888,use,0.06607982260283314,green,0.06728349010118363,andy,0.05112574903780909,intensity,0.06943572650217505
economic,0.06363915216384719,life,0.06222093559362703,total,0.05219356903113449,ticket,0.05320060093650337,time,0.07163081516538178,emory,0.05143608063981642,planetary,0.06528487860903465,allan,0.06355690468896964,logitech,0.050441653044676446,level,0.06864057784976625
population,0.0632457430747063,ca,0.06201265187243732,o,0.051949537545272984,ca,0.053117888169082014,run,0.07044946317413982,said,0.050915176311725555,n,0.06300872042991704,schneider,0.06355669040513588,functions,0.0490432421510032,gray,0.06751708584216566
best,0.0626967994901444,know,0.061401638083380713,killed,0.049655967115021626,winnipeg,0.05301271397506708,using,0.06834237337676882,pivot,0.04879064981533354,science,0.06272363247564755,going,0.06245684299077113,posted,0.04793172862955992,technology,0.062243969065569595
ca,0.06096173548851552,gods,0.06123262296140173,mon,0.04939758919194751,berkeley,0.05030216266343781,mon,0.06720196637292422,ride,0.047576660457749505,mail,0.06205126628042223,phone,0.06217054290485693,emory,0.04787825049224552,let,0.060897155772029234
